car_id,predicted_price
7049834608,17390.0
7053222499,43990.0
7053252993,37750.0
7053193793,58310.0
7052800054,13500.0
7052910638,27831.0
7052756337,7990.0
7053146121,7500.0
7053202561,43900.0
7053152571,24800.0
7050080619,8500.0
7053373597,15950.0
7053103412,59500.0
7053529000,2250.0
7052519931,18990.0
7053198126,14290.0
7053258904,31850.0
7050463905,30785.5
7053201737,19250.0
7053047933,15999.0
7053055812,14000.0
7053290490,25999.0
7052805354,23500.0
7053247467,22450.0
7052785102,32130.0
7053200764,15490.0
7053517998,12150.0
7053074640,12900.0
7053494086,8950.0
7051991653,6350.0
7053154201,19450.0
7053369970,24990.0
7041432898,4690.0
7053488984,29990.0
7051409107,26900.0
7052896794,19927.0
7051199143,13990.0
7053164144,18730.0
7053039550,36899.0
7052392338,14980.0
7052985038,14648.0
7052391544,114990.0
7053540189,6950.0
7053102990,13000.0
7052799973,6490.0
7053380414,17950.0
7051022765,8999.0
7053484653,8750.0
7053389696,6850.0
7053269093,4990.0
7052856684,64855.0
7053087587,78897.0
7051260803,19989.0
7053507566,64900.0
7049573762,6090.0
7052716988,30490.0
7053047151,24500.0
7053201805,16490.0
7053141761,6750.0
7053152034,12733.0
7052752760,10500.0
7053077559,12200.0
7052639237,22598.0
7053467472,5999.0
7053200488,8499.0
7053494536,54900.0
7052855395,92730.5
7053532280,104800.0
7052648653,7250.0
7053016894,47600.0
7052312813,15708.0
7053131187,11490.0
7053197831,13450.0
7053200577,6390.0
7052679080,27900.0
7053161581,49500.0
7052756512,6600.0
7053162676,18990.0
7053022068,16990.0
7052223167,109898.0
7052679100,3490.0
7053200538,12900.0
7049907905,3499.0
7053517863,48900.0
7053199559,8400.0
7052077439,33141.5
7053415070,21190.0
7052651112,100487.0
7052772282,8990.0
7053192890,11500.0
7053102635,20899.0
7053176449,29393.0
7053532277,8490.0
7053170431,15990.0
7052663039,5499.0
7053229655,6990.0
7053219953,19500.0
7052942726,44990.0
7051438690,16500.0
7053148243,19990.0
7052000100,29990.0
7052378006,24990.0
7053101722,38675.0
7053539779,10590.0
7053304380,45900.0
7053270976,13500.0
7053196851,20900.0
